GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
quarkus-application,br.com.joseana,ProductResource,142,51,27,5,34,11,20,4,4,4
quarkus-application,br.com.joseana,Product,0,3,0,0,0,1,0,1,0,1
